Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
63	1	422.3912	422.1125	0.2786541	83.94657	0.003486792	0.07851297	0.03081574	0.6719381	0.5996712	1	0.01465934	198.7922	0.02749921	0.2393237
64	0	428.1639	423.9185	4.245427	16.20022	0.009756469	-0.03484297	0.01327762	0.9557834	0.8399879	1	0.01609613	71.04488	0.01325166	-0.7880065
65	1	426.2847	424.8043	1.48038	69.83191	0.004042611	-0.006759792	0.02559241	0.7253398	0.6422585	1	0.01438472	171.4603	0.02366176	-0.02461147
66	0	428.4105	424.9909	3.419615	30.65759	0.006904975	-0.07536868	0.01633312	0.889989	0.7762077	1	0.01501864	100.3837	0.01613545	-0.6851013
67	1	425.1782	423.5065	1.67169	81.09672	0.003589225	0.02908148	0.02515416	0.6825058	0.6081231	1	0.01343755	193.1189	0.02261855	0.09159687
68	0	427.7746	425.2263	2.548316	40.53327	0.005852403	-0.001804542	0.01994661	0.8459873	0.7390631	1	0.01527976	118.4381	0.01947348	-0.01171684
69	1	426.251	424.7905	1.46047	71.93261	0.00395144	-0.01298945	0.02583323	0.7172177	0.6357967	1	0.01428835	175.4163	0.02376745	-0.04593445
70	0	428.9617	424.6733	4.288422	19.06165	0.008958992	-0.04602753	0.01312261	0.9429451	0.8259716	1	0.01533397	77.36888	0.01307989	-0.8067237
71	1	427.2449	425.2687	1.976192	58.25795	0.004615317	0.002956905	0.02284385	0.7712867	0.6788113	1	0.01452113	150.1841	0.0216489	0.01292843
72	0	429.7056	426.2329	3.47268	32.00105	0.006736785	-0.02914199	0.01632021	0.8839128	0.7709395	1	0.01482874	102.8899	0.01610028	-0.2510352
73	1	426.1234	424.2741	1.84928	50.66994	0.005075803	-4.662031e-05	0.02305994	0.8025915	0.7038393	1	0.01530018	136.5591	0.0221613	-0.0002361617
74	0	428.9462	425.7724	3.173748	31.42998	0.006807093	-0.02914199	0.01742885	0.8864926	0.7731693	1	0.01540388	101.8272	0.0172043	-0.2567408
75	1	426.1815	422.7525	3.428995	42.07266	0.005719013	0.04023899	0.01623985	0.8392785	0.7335545	1	0.01362908	121.2005	0.01582035	0.2503648
76	0	427.1235	424.0436	3.07993	26.8678	0.007438818	-0.02914199	0.01770269	0.9072473	0.7915322	1	0.01622881	93.17974	0.01755039	-0.31419
77	1	425.6633	423.2302	2.433094	35.51627	0.006338257	0.01567615	0.02013968	0.8681412	0.757502	1	0.01597814	109.3593	0.01978952	0.1188859
78	0	429.2501	426.1171	3.133019	36.3648	0.006249898	-0.009327161	0.01763841	0.8643639	0.7543265	1	0.01484845	110.9054	0.01731392	-0.06876606
79	1	423.4122	422.1856	1.22663	59.18615	0.004564265	-0.09309468	0.02578561	0.7675237	0.6758135	1	0.01534225	151.8639	0.02439202	-0.4004481
80	0	429.343	425.2242	4.118754	25.98761	0.007577689	-0.03011258	0.01383512	0.9112745	0.7952018	1	0.01448021	91.47211	0.0137262	-0.3393905
81	1	424.2403	423.2277	1.012563	74.77098	0.003833394	-0.09000669	0.02768792	0.7063434	0.6271392	1	0.01456974	180.8181	0.02530028	-0.3065033
82	0	429.4884	425.6542	3.834185	29.27115	0.007089327	-0.04528098	0.01491783	0.8962844	0.7817304	1	0.01454355	97.77334	0.01475736	-0.4365881
83	1	425.1263	423.1448	1.981428	72.22237	0.003939126	-0.09000669	0.02331778	0.7161023	0.6349091	1	0.01355372	175.9647	0.02143842	-0.3170392
84	0	429.4184	425.7024	3.715953	33.05238	0.006611665	-0.02469312	0.01542829	0.8791758	0.7668702	1	0.01428332	104.837	0.01520306	-0.2043723
85	1	427.8254	425.3572	2.468188	52.24915	0.004972974	0.01841839	0.02049029	0.7959951	0.6985483	1	0.01427569	139.3828	0.01963753	0.09028404
86	0	429.4188	425.5289	3.889937	30.12982	0.006973794	-0.02990181	0.01473863	0.8923826	0.7782993	1	0.01433765	99.39312	0.01456793	-0.277853
87	1	428.9721	426.0576	2.914516	43.79828	0.00557689	-0.01457134	0.018677	0.8318086	0.7274535	1	0.01443327	124.2892	0.01814866	-0.08663548
88	0	428.6834	424.6255	4.05795	28.01648	0.00726668	-0.0549161	0.01404124	0.9020006	0.7868093	1	0.01428518	95.38706	0.01390639	-0.5603718
89	1	426.5812	423.8077	2.773467	32.8707	0.006632902	0.02477268	0.0186886	0.8799932	0.7675702	1	0.01574545	104.5014	0.01841946	0.2064273
90	0	428.923	425.4393	3.483695	26.81491	0.007446986	-0.05141725	0.01616409	0.9074891	0.7917515	1	0.01551604	93.07754	0.01602575	-0.5557967
91	1	428.0657	425.3176	2.748097	37.64783	0.006121373	0.003956665	0.01906546	0.8586755	0.749571	1	0.01527788	113.2339	0.01868467	0.02799703
92	0	427.7385	424.8644	2.874167	33.66216	0.006541516	0.008366671	0.01846288	0.8764359	0.7645303	1	0.01554189	105.9612	0.01818099	0.06771119
93	1	428.6113	425.4035	3.207805	34.6585	0.006430484	-0.06841735	0.01724923	0.8719717	0.7607378	1	0.01489436	107.7908	0.0169665	-0.5343925
94	0	428.1949	423.7677	4.427142	16.03453	0.009808748	-0.02416215	0.01259843	0.9565162	0.8408305	1	0.01572099	70.66622	0.01257461	-0.5556582
95	1	427.8409	425.0826	2.758362	36.60194	0.006225694	0.008668032	0.01896864	0.8633104	0.7534435	1	0.01536834	111.3365	0.01861423	0.063414
96	0	425.9485	421.1985	4.750079	12.44125	0.01117677	-0.04989044	0.01134198	0.9719188	0.8601584	1	0.01592273	62.01676	0.01133304	-1.776649
97	1	428.7296	425.6059	3.123632	44.63747	0.005510392	-0.03647415	0.01792317	0.8281952	0.7245132	1	0.01405444	125.7891	0.01739413	-0.2123
98	0	427.4754	422.8215	4.653875	16.40404	0.0096932	-0.04989044	0.01172781	0.9548801	0.8389565	1	0.01507846	71.5086	0.01170394	-1.105729
99	1	429.3982	426.0579	3.340256	34.65452	0.006430919	-0.04597255	0.01684976	0.8719895	0.7607529	1	0.01472137	107.7835	0.01657365	-0.3591311
100	0	429.0219	426.0173	3.004678	42.39607	0.005691802	-0.03838641	0.0183158	0.8378745	0.7324053	1	0.01443952	121.7799	0.01783437	-0.2367697
101	1	427.8537	424.2503	3.603382	41.30671	0.005784568	-0.02648378	0.01601806	0.8426113	0.7362874	1	0.01361305	119.827	0.01562127	-0.1682699
102	0	428.4129	424.2593	4.153609	28.99699	0.007127187	-0.02492466	0.01374002	0.8975321	0.7828334	1	0.01399483	97.25396	0.01359575	-0.2432434
103	1	428.5966	425.6796	2.91706	46.0836	0.005399537	0.002620358	0.01865326	0.8219982	0.7194853	1	0.01419288	128.3716	0.01806223	0.01472097
104	0	428.9183	424.5386	4.379685	21.49721	0.00840297	-0.03185915	0.01282075	0.9318476	0.8147148	1	0.01467872	82.48836	0.0127612	-0.4674694
105	1	426.6576	424.9703	1.687272	67.3578	0.004154489	0.004413741	0.02449528	0.7349885	0.6499317	1	0.01426642	166.843	0.02277495	0.01665491
106	0	429.0777	424.7383	4.33934	19.87285	0.008763202	-0.03980688	0.01295183	0.9392603	0.8221609	1	0.01506648	79.09748	0.01290404	-0.6553681
107	1	424.3861	422.0377	2.348409	59.9076	0.004525281	0.07970931	0.02034769	0.7646087	0.6734922	1	0.01357048	153.1722	0.01922024	0.3386247
108	0	429.0952	425.4641	3.631108	25.26996	0.007695782	-0.05062006	0.01559949	0.9145613	0.7982281	1	0.01549518	90.06845	0.01548561	-0.5924725
109	1	429.1867	425.7921	3.394632	32.5638	0.006669137	0.004560948	0.01650676	0.8813752	0.7687557	1	0.01483818	103.9336	0.01627448	0.03844851
110	0	429.0928	425.8239	3.268875	40.06554	0.005894258	-0.006957462	0.01719942	0.8480341	0.7407498	1	0.01423923	117.597	0.01680223	-0.04578306
111	1	424.9055	420.9832	3.922305	32.63885	0.006660234	0.0444646	0.01415385	0.8810371	0.7684655	1	0.01373084	104.0725	0.01395354	0.3737686
112	0	427.2247	424.9726	2.252085	64.14081	0.004307921	-0.01704577	0.02207742	0.7476723	0.6600172	1	0.01379187	160.9006	0.02067177	-0.06755411
113	1	426.8776	423.8156	3.062027	27.39554	0.007358508	-0.05706859	0.01772446	0.9048354	0.7893534	1	0.01615089	94.1967	0.01756394	-0.5996828
114	0	426.0739	423.5756	2.498237	57.89551	0.004635532	0.05065155	0.02019084	0.7727598	0.6799854	1	0.01368176	149.5291	0.01914822	0.2228987
115	1	429.5782	426.029	3.549198	33.94594	0.006509448	-0.01887922	0.01605584	0.8751628	0.7634463	1	0.01445784	106.4832	0.01580562	-0.1512307
116	0	428.4047	425.5851	2.819556	49.79866	0.005134318	-0.03654245	0.01925357	0.8062496	0.7067786	1	0.01406086	135.0028	0.01853081	-0.1886058
117	1	427.956	424.7418	3.214125	47.43875	0.005299683	-0.03387942	0.01765697	0.8162251	0.7148164	1	0.01368038	130.7903	0.01706064	-0.1843528
118	0	428.3312	425.3837	2.947474	35.2397	0.006367666	-0.05656596	0.01830915	0.869375	0.7585425	1	0.01527001	108.8542	0.01799674	-0.4330407
119	1	428.1184	425.0171	3.101332	30.46647	0.00692971	0.002619718	0.01757953	0.8908554	0.7769637	1	0.01560904	100.0254	0.01737012	0.02400227
120	0	427.5867	424.8296	2.757035	35.93986	0.0062938	-0.05982067	0.0190364	0.866254	0.7559137	1	0.01547975	110.1317	0.01869587	-0.4472709
121	1	429.0441	425.6356	3.408513	28.04398	0.007262677	-0.04462682	0.01648053	0.9018751	0.7866971	1	0.01547209	95.43963	0.01632185	-0.4547963
122	0	428.7006	425.8122	2.888458	36.83969	0.006201635	-0.01851687	0.01860747	0.8622552	0.75256	1	0.01519189	111.7685	0.01825442	-0.1344288
123	1	426.6039	423.2077	3.396183	25.53503	0.007651633	0.03168906	0.0161543	0.9133471	0.7971066	1	0.01572303	90.58814	0.016033	0.3657009
124	0	427.4977	424.8772	2.62052	36.84772	0.006200826	-0.02777639	0.01965021	0.8622195	0.7525302	1	0.01561074	111.783	0.01927718	-0.2015989
125	1	427.102	424.07	3.032045	29.63234	0.007040176	0.01799075	0.01771174	0.8946421	0.7802828	1	0.01579201	98.45594	0.01751514	0.1707584
126	0	429.7056	425.8611	3.844531	25.62544	0.007636717	-0.0404546	0.0148388	0.9129329	0.7967251	1	0.01505455	90.76507	0.01472632	-0.4646372
127	1	428.7303	425.3487	3.381559	29.55886	0.007050109	0.009162351	0.01647239	0.8949761	0.7805768	1	0.01524022	98.31722	0.0162907	0.08724062
128	0	427.4892	422.9314	4.55779	20.84218	0.008543491	-0.01222833	0.01211487	0.9348411	0.8176893	1	0.01438772	81.13161	0.01206344	-0.1876694
129	1	427.8878	423.3144	4.573429	17.05032	0.009499787	-0.05042322	0.01203356	0.9520025	0.8357219	1	0.0151206	72.9645	0.01200583	-1.050539
130	0	426.9959	422.3359	4.660008	16.74485	0.009589878	-0.00965489	0.01169072	0.953365	0.8372441	1	0.01497415	72.27904	0.01166529	-0.207031
131	1	429.4478	426.1829	3.264913	37.11999	0.006173534	-0.01621247	0.01718014	0.8610123	0.7515209	1	0.01456449	112.2772	0.01684826	-0.1166468
132	0	428.1348	424.8816	3.253193	33.99855	0.006503542	0.02921522	0.01685433	0.8749269	0.7632457	1	0.01480627	106.5799	0.01659067	0.2335852
