Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
57	555.6536	552.1214	3.532242	8.68929	0.01340481	-0.03322744	0.01202103	0.9862243	0.8833319	1	0.01795214	51.70882	0.5321972	0.01201875	-40.51286
58	553.2446	550.9302	2.314375	10.26129	0.01232583	-0.0559282	0.01232775	0.9805508	0.8731428	1	0.01743271	56.23535	0.7602786	0.01232309	-41.20584
59	555.0957	552.5693	2.526396	9.748114	0.01264968	-0.04542111	0.01303706	0.9824635	0.8763819	1	0.01816121	54.79561	0.6894267	0.01303305	-41.21449
60	555.2731	552.5967	2.676446	9.431471	0.01286233	-0.02892893	0.0127575	0.9836159	0.8784209	1	0.01811581	53.8897	0.6761707	0.01275408	-42.35942
61	554.503	550.9485	3.554502	7.136745	0.0147986	-0.02826234	0.01125778	0.9911768	0.8943083	1	0.01825373	46.83869	0.57337	0.0112569	-67.61432
62	556.3144	552.5713	3.743068	8.608732	0.01346782	-0.04240603	0.01267465	0.986499	0.8838769	1	0.01847701	51.46691	-0.4819167	0.01267234	32.07194
63	556.4188	552.5511	3.867733	8.312895	0.01370691	-0.03856397	0.01283568	0.9874923	0.8858994	1	0.01875833	50.56917	-0.4290381	0.01283367	30.78976
64	554.9985	551.2038	3.794631	9.792745	0.01262053	-0.04850555	0.01460794	0.9822993	0.8760971	1	0.01920208	54.92219	-0.2511424	0.01460336	11.19682
65	553.6677	549.6742	3.993512	10.79481	0.01201345	-0.07135829	0.01270692	0.9785085	0.8698552	1	0.01747306	57.69758	-0.3817665	0.01270105	14.06156
66	555.7055	552.3968	3.308621	10.79481	0.01201345	-0.02192607	0.0138216	0.9785085	0.8698552	1	0.01822334	57.69758	-0.5212211	0.01381521	22.71104
67	555.3449	551.5905	3.754423	11.24399	0.01176751	-0.008993215	0.01376376	0.9767508	0.8671456	1	0.01799807	58.90345	-0.3799087	0.01375632	15.57401
68	555.2952	551.3082	3.986929	11.54316	0.01161155	-0.01072055	0.01321553	0.9755624	0.8653688	1	0.01751872	59.69461	0.2910592	0.01320764	-12.05794
69	555.611	552.6315	2.979427	10.34371	0.01227603	-0.02762044	0.01363235	0.9802388	0.8726298	1	0.01829487	56.46346	0.5628776	0.01362702	-29.31875
70	554.9952	550.6897	4.30546	10.2919	0.01230727	-0.05624871	0.01223813	0.9804351	0.8729521	1	0.01735615	56.32016	-0.311574	0.01223344	12.73859
71	555.7265	551.1323	4.594238	7.69329	0.01425112	-0.02051373	0.01164469	0.9894894	0.8902515	1	0.01821812	48.63809	0.192803	0.01164341	-20.10256
72	552.9064	551.9279	0.9785043	9.469245	0.01283641	-0.02642477	0.01409346	0.9834796	0.8781759	1	0.01902154	53.99851	-0.9557991	0.01408962	55.30035
73	554.6231	551.0208	3.602281	13.66111	0.01065439	-0.03990015	0.01594119	0.9668156	0.8533479	1	0.01843061	65.05742	-0.1174481	0.01592364	2.219431
74	555.9688	552.4738	3.49499	7.983875	0.01398809	-0.03676017	0.01258216	0.9885675	0.8881901	1	0.01876168	49.55267	-0.5583535	0.01258051	45.06527
75	555.8313	551.975	3.8563	8.781879	0.01333346	-0.04346919	0.01373906	0.9859065	0.8827086	1	0.01914101	51.98556	-0.3401486	0.01373633	20.71059
76	555.9022	551.8857	4.016446	11.41896	0.01167557	-0.0443627	0.01301373	0.9760574	0.8661039	1	0.01743231	59.36729	0.3010015	0.01300627	-14.12368
77	555.2542	550.4054	4.848816	6.068379	0.01605188	-0.0443627	0.01125736	0.9940892	0.9025562	1	0.01901061	43.18169	-0.08909808	0.01125696	7.479379
78	553.8584	549.2806	4.577791	5.276069	0.01721667	-0.03300719	0.01102813	0.9959267	0.9091471	1	0.0194868	40.26023	-0.3360411	0.01102795	74.05962
79	551.4624	546.9661	4.496243	5.618972	0.01668246	-0.05741404	0.01047232	0.9951683	0.9062384	1	0.01869246	41.54946	0.3608388	0.01047207	-86.20271
80	551.9916	547.3236	4.667983	4.914071	0.01784009	-0.02029074	0.01080113	0.9966627	0.9123214	1	0.01963126	38.85335	0.2662896	0.01080101	-85.60475
81	555.8187	551.2742	4.544445	7.098899	0.01483813	-0.02691313	0.01149454	0.9912876	0.8945897	1	0.0184693	46.71391	0.2425454	0.01149367	-30.68564
82	556.5807	552.3303	4.250365	9.54303	0.01278623	-0.02161845	0.0128449	0.9832124	0.8776988	1	0.01812389	54.21046	0.211485	0.01284128	-13.67399
83	556.4623	552.2614	4.200871	9.53116	0.01279426	-0.05116135	0.01340818	0.9832555	0.8777755	1	0.01852284	54.17642	-0.1885947	0.01340442	8.019073
84	555.8994	551.4472	4.452178	7.220405	0.01471231	-0.05068641	0.01201558	0.9909301	0.8936889	1	0.01880303	47.11341	-0.2670905	0.01201459	23.59241
85	554.0221	550.7546	3.267499	7.399305	0.01453269	-0.02078904	0.01329804	0.9903941	0.8923759	1	0.01965992	47.69574	0.5136759	0.01329681	-55.12528
86	555.6366	550.8211	4.815538	7.380004	0.01455175	-0.0423308	0.0111766	0.9904524	0.8925168	1	0.01803547	47.63324	-0.1667155	0.01117558	12.86117
87	556.9726	552.418	4.554577	8.192202	0.01380811	-0.03913055	0.01224395	0.9878905	0.8867345	1	0.01838835	50.19856	-0.1535566	0.01224215	9.29569
88	555.8783	551.3986	4.47973	10.26544	0.0123233	-0.01223539	0.01273046	0.9805351	0.873117	1	0.01771335	56.24686	-0.06509848	0.01272564	2.650722
89	555.5955	552.0549	3.540556	12.63002	0.01109117	-0.03979039	0.01378628	0.9711398	0.8590854	1	0.01748748	62.49541	0.4005095	0.0137748	-14.85579
90	554.6404	551.4125	3.227876	9.808163	0.0126105	-0.009516558	0.01291184	0.9822425	0.8759988	1	0.01804576	54.96586	0.5477802	0.01290777	-30.83596
91	556.3724	552.4374	3.935001	11.33997	0.01171682	-0.03322851	0.01432043	0.976371	0.8665732	1	0.01831884	59.15829	-0.2167936	0.01431244	7.551854
92	551.9906	547.9746	4.016031	15.1771	0.01009219	0.0177294	0.01422564	0.9602827	0.8452523	1	0.01694508	68.68152	-0.1264121	0.0142032	3.502777
93	553.1283	551.4755	1.652803	10.25488	0.01232973	-0.008171079	0.01343939	0.980575	0.8731828	1	0.01820462	56.21757	0.8234078	0.01343432	-41.98641
94	556.54	552.2958	4.24426	8.086952	0.01389818	-0.03320754	0.01305748	0.9882341	0.8874677	1	0.01905125	49.87324	-0.2338046	0.01305567	16.81526
95	556.6049	552.0171	4.587804	7.191052	0.01474242	-0.03416722	0.01208846	0.9910169	0.8939058	1	0.01887926	47.0172	-0.1624962	0.01208749	14.12315
96	556.5685	551.8961	4.67232	7.433088	0.01449949	-0.0382501	0.01174335	0.9902916	0.8921298	1	0.01845387	47.80493	-0.1665442	0.01174225	13.04818
97	556.2316	551.7498	4.481736	7.259073	0.01467293	-0.02985715	0.01274212	0.9908152	0.8934038	1	0.01933723	47.23986	-0.005331143	0.01274105	-2.675603
98	555.3589	551.1442	4.214765	8.046555	0.01393321	-0.04862259	0.01368908	0.9883652	0.8877503	1	0.01953115	49.74784	-0.07131943	0.01368723	1.879445
99	555.0975	551.3687	3.728842	14.01019	0.0105172	-0.01989967	0.01551739	0.965328	0.8514499	1	0.01806652	65.90606	0.04634281	0.01549874	-1.864204
100	554.6676	551.4169	3.250683	13.01906	0.01092048	-0.04961461	0.01368219	0.9695214	0.8568966	1	0.01728676	63.47222	-0.5448328	0.01366948	15.70325
101	556.3366	552.012	4.324642	10.43339	0.0122225	-0.01485977	0.01332701	0.9798977	0.8720738	1	0.01804934	56.71073	-0.05872787	0.01332162	2.12352
102	556.6375	552.7379	3.899561	10.28705	0.0123102	-0.03490732	0.01359524	0.9804534	0.8729823	1	0.01829536	56.30675	0.2864738	0.01359005	-16.15532
