Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
100	0	668.9401	663.0745	5.865576	0.7202539	0.04660203	-0.02334338	0.005418961	0.9999997	0.9664347	1	0.02247374	14.87375	-0.07758535	0.005418961	159857.5
101	1	669.1284	664.0978	5.030568	0.6408814	0.04940363	-0.01695397	0.00571331	0.9999999	0.9683381	1	0.02375955	14.03029	0.4514836	0.00571331	-3380436
102	0	669.8531	664.2002	5.652933	0.5451423	0.05356643	-0.01975092	0.005300303	1	0.9707987	1	0.02382932	12.93995	0.2138635	0.005300303	-6378387
103	1	666.1934	660.3893	5.804088	0.3542257	0.06645193	-0.02267297	0.004882056	1	0.976461	1	0.02547242	10.43081	0.05446984	0.004882056	-1.295092e+08
104	0	666.2328	663.6285	2.604358	0.5451423	0.05356643	-0.01773345	0.005846781	1	0.9707987	1	0.02502763	12.93995	0.9170179	0.005846781	-2.552157e+07
105	1	668.2637	662.4605	5.803137	0.5705528	0.05236001	-0.0220964	0.006125904	0.9999999	0.9701258	1	0.02532795	13.2381	-0.1333309	0.006125904	2065250
106	0	668.8131	663.0608	5.752203	0.4298104	0.06032665	-0.02320974	0.005333491	1	0.974071	1	0.02536737	11.4899	0.1445849	0.005333491	-3.976107e+07
107	1	668.777	662.9684	5.808607	0.7643321	0.04523834	-0.01698644	0.005205808	0.9999995	0.9654229	1	0.02170263	15.32212	-0.1559874	0.005205808	264913.2
108	0	669.8105	663.9809	5.829571	0.6016092	0.05099064	-0.02094336	0.00575164	0.9999999	0.9693236	1	0.02421899	13.59362	-0.1263723	0.00575164	1263552
109	1	666.2799	660.9226	5.357304	0.7195525	0.04662474	-0.01586455	0.004826255	0.9999997	0.9664511	1	0.02121428	14.86651	-0.3909369	0.004826255	1113435
110	0	667.2121	661.3701	5.841977	0.9451904	0.04068066	-0.02156424	0.005972613	0.9999977	0.961549	1	0.02204404	17.03874	-0.1080064	0.005972613	38379.96
111	1	668.0794	662.3176	5.76177	0.8549652	0.04277337	-0.01744215	0.006090327	0.9999988	0.9634303	1	0.02282559	16.20511	0.1324748	0.006090327	-129940.4
112	0	668.5743	663.09	5.48426	0.4841337	0.05684143	-0.01525523	0.005648087	1	0.9724811	1	0.02533951	12.1944	-0.348099	0.005648087	2.588775e+07
113	1	668.2824	662.475	5.807371	0.4618811	0.05819458	-0.01816502	0.005959943	1	0.973121	1	0.02633767	11.91085	0.07818781	0.005959943	-1.154956e+07
114	0	664.501	661.6081	2.892902	0.4454777	0.05925632	-0.02761401	0.005570917	1	0.9736026	1	0.02569483	11.69744	0.8748165	0.005570917	-1.518826e+08
115	1	668.1756	662.3258	5.849762	0.7117866	0.0468784	-0.02447454	0.005959943	0.9999997	0.9666326	1	0.02363864	14.78607	-0.08241459	0.005959943	186527
116	0	669.7284	663.8985	5.829896	0.5950304	0.05127174	-0.02260387	0.005371455	0.9999999	0.9694918	1	0.02346929	13.51909	-0.1313348	0.005371455	1425641
117	1	667.9643	662.1222	5.842094	0.8941428	0.0418258	-0.0184021	0.006047767	0.9999984	0.9626018	1	0.02249234	16.57224	-0.09527604	0.006047767	49218.49
118	0	666.2433	662.5038	3.739523	0.4355031	0.05993107	-0.01653424	0.005743215	1	0.9738998	1	0.02623726	11.56574	0.7341825	0.005743215	-1.567618e+08
119	1	669.8059	663.9612	5.844783	0.4844353	0.05682373	-0.01915547	0.005484705	1	0.9724726	1	0.02496643	12.1982	-0.09925603	0.005484705	6194875
120	0	667.7573	662.0363	5.720943	0.637842	0.04952119	-0.01412654	0.006194158	0.9999999	0.9684133	1	0.02476861	13.99698	0.1523804	0.006194158	-1247597
121	1	667.2864	662.1459	5.140535	0.5857889	0.0516746	-0.02137317	0.004863072	0.9999999	0.9697296	1	0.02241862	13.41369	-0.4652975	0.004863072	6620509
122	0	666.1458	660.3357	5.810101	0.637842	0.04952119	-0.02413501	0.006453824	0.9999999	0.9684133	1	0.02528245	13.99698	-0.07600004	0.006453824	388612.1
123	1	668.9481	663.1524	5.795669	0.436966	0.05983066	-0.01831648	0.005618988	1	0.973856	1	0.02593021	11.58515	0.104713	0.005618988	-2.48791e+07
124	0	669.3493	663.4882	5.861043	0.5845065	0.05173125	-0.02340517	0.005247098	0.9999999	0.9697627	1	0.02329974	13.399	-0.06479692	0.005247098	628580.4
125	1	669.5471	663.7177	5.829366	0.5250245	0.05458306	-0.02349192	0.00545564	1	0.9713426	1	0.02440432	12.69894	-0.1288678	0.00545564	3981829
126	0	668.9558	663.0826	5.873114	0.8102679	0.0439373	-0.01625408	0.00539174	0.9999992	0.964399	1	0.02176688	15.77583	-0.04898063	0.00539174	41150.28
