Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
104	0	591.6051	592.9559	-1.350801	12.78755	0.01102115	-0.03056799	0.01200658	0.9704866	0.8581955	1	0.01626815	62.89246	1.258623	0.01199612	-42.42289
105	1	596.6984	593.8876	2.810761	23.68189	0.007974359	-0.01250215	0.01537098	0.9218405	0.8050432	1	0.01565718	86.92199	0.4952574	0.01527708	-6.001197
106	0	595.0961	590.8119	4.284209	11.6955	0.01153438	-0.03876696	0.01341442	0.9749521	0.8644722	1	0.01759131	60.09399	0.05158021	0.01340601	-3.555396
107	1	593.4556	590.3685	3.087079	35.82861	0.006305408	-0.07055413	0.01692103	0.8667494	0.7563302	1	0.01460781	109.929	-0.3249615	0.01662059	1.584278
108	0	596.8466	592.2361	4.610473	11.95094	0.01140824	-0.04318682	0.01195134	0.9739215	0.8629808	1	0.01651325	60.75849	0.1213019	0.01194322	-6.186133
109	1	597.0315	592.9699	4.061602	15.00403	0.01015221	-0.01601849	0.01209436	0.9610374	0.8461579	1	0.01567064	68.27553	-0.4322715	0.012076	10.25112
110	0	594.6091	590.6894	3.919692	13.54788	0.01069999	-0.04318682	0.01442664	0.9672958	0.8539683	1	0.01757071	64.78018	0.1511179	0.01441121	-5.790156
111	1	596.2876	592.0913	4.196246	13.58067	0.01068673	0.001132069	0.01301159	0.9671569	0.8537884	1	0.01667641	64.86056	-0.2642033	0.01299755	7.814663
112	0	597.6071	594.0112	3.595888	21.82128	0.008335642	-0.03717825	0.01464097	0.930365	0.8132566	1	0.01562318	83.15463	-0.3595397	0.01456997	4.269761
113	1	597.3422	593.3062	4.035964	14.26282	0.01042095	-0.0432185	0.01301419	0.9642447	0.8500894	1	0.01646938	66.51477	0.2946449	0.01299755	-9.15468
114	0	595.6551	591.7873	3.867866	15.82677	0.009875401	0.01085553	0.01414829	0.9574328	0.8418923	1	0.01671646	70.18927	-0.2721014	0.01412265	6.375202
115	1	597.1695	593.8065	3.363015	14.88846	0.01019284	-0.02958592	0.01309086	0.9615401	0.8467652	1	0.01633603	68.00337	-0.5602937	0.01307149	13.2387
116	0	596.8189	592.7667	4.052217	20.6164	0.008593369	0.00877459	0.01368505	0.9358717	0.8187232	1	0.01533628	80.6607	0.1896727	0.01362878	-2.631208
117	1	597.3648	593.7766	3.588235	17.04192	0.009502234	-0.01214193	0.01402159	0.95204	0.8357636	1	0.01632399	72.94571	-0.4197734	0.01398933	8.079641
118	0	596.6993	592.9099	3.789318	21.86245	0.008327187	-0.05783593	0.01408198	0.9301765	0.8130719	1	0.01531426	83.23905	0.2779933	0.01401333	-4.531697
119	1	597.042	593.1684	3.873665	22.74576	0.008150994	-0.05193548	0.01431772	0.9261312	0.8091428	1	0.01527767	85.03836	-0.2627443	0.01423959	2.591083
120	0	597.0218	593.7763	3.245486	25.25589	0.007698144	-0.03070623	0.01570332	0.9146258	0.7982878	1	0.01554904	90.04082	0.3364765	0.01558886	-3.964387
121	1	594.9632	592.8386	2.124608	28.85392	0.007147138	0.007341038	0.01681719	0.8981834	0.7834105	1	0.0155045	96.98248	-0.6228659	0.01664286	5.566766
122	0	593.9795	590.2697	3.709731	29.37865	0.007074613	-0.03666293	0.01445795	0.8957955	0.7812989	1	0.01430275	97.97669	0.2881902	0.01430096	-2.829267
