Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
146	357.5642	354.7417	2.822535	20.22827	0.008680927	-0.04067819	0.0185738	0.9376417	0.8205113	1	0.0179576	79.84714	0.01850157	-0.6523298
147	359.0579	355.8102	3.24766	12.96165	0.0109452	-0.02052812	0.01692001	0.9697613	0.8572178	1	0.01924541	63.32885	0.01690454	-0.6788701
148	357.818	353.8447	3.973302	11.92241	0.01142213	-0.04535829	0.0142408	0.974037	0.8631466	1	0.01803664	60.6846	0.0142312	-1.747035
149	358.3549	354.7912	3.563718	8.867217	0.01326867	-0.06742676	0.01563864	0.9856115	0.8821368	1	0.02037174	52.2394	0.01563541	-4.686169
150	357.2617	352.9261	4.335602	6.501689	0.01550662	-0.04022598	0.01289299	0.9929638	0.8991313	1	0.01999633	44.70008	0.01289235	-5.717028
151	358.1953	354.3439	3.85138	11.24087	0.01176917	-0.06428362	0.01461157	0.9767632	0.8671643	1	0.01854541	58.89514	0.01460368	-2.766452
152	357.8848	353.9634	3.921361	7.114765	0.01482152	-0.0262515	0.0144226	0.9912412	0.8944716	1	0.0206768	46.76626	0.0144215	-2.997165
153	356.8146	353.9431	2.871482	9.944034	0.01252314	-0.03868891	0.01831239	0.9817396	0.875136	1	0.02141629	55.34931	0.01830629	-2.118736
154	359.4859	355.8611	3.624803	9.256723	0.01298425	-0.04476113	0.01550881	0.9842421	0.8795601	1	0.0200684	53.38368	0.01550496	-2.840559
155	358.0583	354.4144	3.643935	7.570967	0.0143663	-0.05927013	0.01538189	0.9898693	0.8911306	1	0.02102289	48.24814	0.01538031	-5.85056
156	359.0162	355.9287	3.087503	12.61326	0.01109869	-0.02763386	0.0175222	0.9712091	0.8591803	1	0.01972174	62.45303	0.01750768	-0.9598139
157	353.3406	352.0146	1.326037	22.55152	0.008188913	-0.03443666	0.02445461	0.9270212	0.8100016	1	0.02001283	84.64459	0.02432437	-0.4718719
158	358.4988	355.0592	3.439645	8.657299	0.01342973	-0.05596144	0.0161521	0.9863336	0.883548	1	0.02082875	51.61288	0.01614908	-4.094814
159	358.7519	355.8828	2.869068	15.15497	0.01009981	-0.02929759	0.01835644	0.9603793	0.8453679	1	0.01925599	68.62972	0.01832762	-0.7394523
160	359.3532	355.5944	3.758794	9.724515	0.01266518	-0.03056436	0.01503268	0.9825502	0.8765328	1	0.01951367	54.72857	0.01502811	-1.751555
161	357.129	352.9085	4.220586	6.393538	0.01563753	-0.0295471	0.01332229	0.9932522	0.8999753	1	0.02041214	44.32586	0.01332168	-4.378769
162	358.3037	354.681	3.622706	7.680109	0.0142634	-0.03411728	0.0155231	0.9895306	0.8903459	1	0.02104339	48.59622	0.0155214	-3.25875
163	359.0824	355.9697	3.112671	14.51615	0.01032688	-0.02783349	0.01744083	0.9631532	0.8487358	1	0.01897943	67.12069	0.01741715	-0.7553839
164	359.5231	355.9752	3.54785	10.68523	0.01207574	-0.03099071	0.01581175	0.9789322	0.8705241	1	0.01954168	57.39999	0.01580473	-1.470998
165	357.4397	353.2633	4.176387	8.028451	0.013949	-0.06476592	0.01340152	0.9884237	0.8878771	1	0.01933586	49.69154	0.01339973	-5.594706
166	358.7211	355.2084	3.5127	8.369013	0.0136606	-0.04731786	0.01591087	0.9873058	0.8855131	1	0.02084956	50.74062	0.01590831	-3.727516
167	357.2219	354.7374	2.484445	18.8968	0.009000219	-0.0685218	0.01972973	0.9436921	0.826754	1	0.01884526	77.01448	0.01966717	-1.216912
168	356.1344	352.7095	3.424891	11.28418	0.01174621	-0.09512017	0.01592769	0.976592	0.8669057	1	0.01934373	59.01029	0.01591896	-4.063568
169	356.2954	352.2641	4.031287	5.972403	0.01618057	-0.02400156	0.0140111	0.9943275	0.9033309	1	0.02129355	42.83824	0.01401065	-4.231186
170	359.1578	355.2148	3.943038	9.549708	0.01278171	-0.04726009	0.01433664	0.9831882	0.8776558	1	0.01914403	54.22961	0.01433259	-2.811125
171	358.2812	354.3291	3.952112	6.835687	0.01512202	-0.04812185	0.01428934	0.9920434	0.8965673	1	0.02078864	45.83694	0.01428844	-6.048046
172	359.0205	355.1184	3.902144	7.811656	0.01414222	-0.04365704	0.0144875	0.9891171	0.8894074	1	0.0202428	49.0126	0.01448578	-4.011523
173	356.8708	352.6095	4.261356	7.811656	0.01414222	-0.06540523	0.01308368	0.9891171	0.8894074	1	0.01923707	49.0126	0.01308213	-6.009903
174	357.0181	353.4612	3.55689	16.09862	0.009788435	-0.05530542	0.01576404	0.9562329	0.8405042	1	0.01756731	70.81287	0.01573384	-1.26363
175	358.6516	355.1381	3.51347	10.78096	0.01202127	-0.01405785	0.01591125	0.9785622	0.8699395	1	0.01955881	57.66006	0.01590394	-0.6557503
176	359.2549	355.8611	3.393849	13.58133	0.01068646	-0.04822894	0.01637208	0.9671541	0.8537848	1	0.01870613	64.86218	0.01635442	-1.468338
