Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
58	597.3648	593.7766	3.588235	17.04192	0.009502234	-0.01214193	0.01402159	0.95204	0.8357636	1	0.01632399	72.94571	-0.4197734	0.01398933	8.079641
59	597.042	593.1684	3.873665	22.74576	0.008150994	-0.05193548	0.01431772	0.9261312	0.8091428	1	0.01527767	85.03836	-0.2627443	0.01423959	2.591083
60	594.9632	592.8386	2.124608	28.85392	0.007147138	0.007341038	0.01681719	0.8981834	0.7834105	1	0.0155045	96.98248	-0.6228659	0.01664286	5.566766
61	595.9616	591.8765	4.085067	23.10904	0.008081269	-0.01241879	0.0133925	0.9244664	0.8075443	1	0.01471247	85.77207	0.2331341	0.01331609	-3.017774
62	595.7749	593.0869	2.688002	14.26285	0.01042094	-0.0272201	0.01364176	0.9642446	0.8500892	1	0.01686179	66.51484	0.627592	0.01362432	-17.68606
63	597.012	592.3857	4.626257	11.61246	0.01157626	-0.02716643	0.01204784	0.9752852	0.8649603	1	0.01670144	59.8766	-0.1381581	0.01204049	4.352737
64	595.7941	591.2996	4.494539	10.41957	0.01223071	-0.02657127	0.01145188	0.9799504	0.8721593	1	0.01673706	56.6727	-0.3278716	0.01144728	14.69987
65	594.7876	590.9903	3.797352	10.72399	0.0120536	-0.03311491	0.01100988	0.9787826	0.8702871	1	0.01629164	57.50542	-0.5859677	0.01100493	25.47057
66	595.6821	591.0812	4.600894	18.86557	0.009008088	-0.05229907	0.01230144	0.9438335	0.8269026	1	0.01488707	76.9472	-0.03556689	0.01226263	-0.3334702
67	598.1791	594.0601	4.119003	20.36385	0.008650075	-0.02988474	0.01393865	0.9370237	0.8198851	1	0.01552871	80.13192	0.1072669	0.01388337	-2.070561
68	597.9065	593.6783	4.228208	20.31901	0.008660247	-0.01914678	0.01354116	0.9372281	0.820092	1	0.01531468	80.03781	0.1023786	0.0134878	-1.833606
69	596.9072	592.4906	4.41651	12.88828	0.01097702	-0.01806353	0.01170126	0.9700673	0.857629	1	0.01602779	63.14528	-0.3344017	0.01169078	10.23393
70	594.8324	592.4137	2.418687	16.10713	0.009785747	-0.06370019	0.01297742	0.9561953	0.8404609	1	0.01593698	70.83232	0.709998	0.01295251	-16.95244
71	597.6748	593.7695	3.905309	21.461	0.008410581	-0.006614735	0.01423926	0.9320132	0.8148783	1	0.01547646	82.41371	0.2025895	0.01417344	-2.874542
72	597.1402	593.5818	3.558403	25.36689	0.007679565	-0.01324069	0.01621141	0.9141173	0.7978175	1	0.01577952	90.25865	0.06467135	0.01609184	-0.8425199
73	597.4115	593.4616	3.949881	18.09676	0.009207781	-0.01297866	0.01477454	0.9473067	0.8305924	1	0.01649489	75.27841	-0.0035106	0.01473352	-0.1831931
74	597.2649	593.3512	3.913709	21.86295	0.008327084	-0.05652306	0.0148367	0.9301742	0.8130697	1	0.01571919	83.24008	0.03857365	0.01476437	-1.323341
75	597.6769	593.131	4.545915	17.2456	0.00944339	-0.02864963	0.01246239	0.9511294	0.8347548	1	0.01534192	73.40025	0.05459527	0.01243262	-1.648778
76	598.2258	594.1948	4.031042	19.17684	0.00893048	-0.0230726	0.01436716	0.9424227	0.8254265	1	0.01601909	77.6159	-0.1271905	0.01431954	1.681126
77	597.9843	593.7384	4.245911	19.96762	0.008741064	-0.03959523	0.01363261	0.9388289	0.8217199	1	0.01543784	79.29781	-0.09416515	0.0135816	0.7979219
78	595.9803	592.342	3.638307	29.01025	0.007125344	-0.01991685	0.01523667	0.8974717	0.7827799	1	0.01473544	97.27911	-0.2765788	0.0150765	2.226748
79	595.8763	591.7833	4.092992	18.69452	0.009051509	0.0240429	0.01371671	0.9446077	0.8277181	1	0.01575798	76.57808	-0.1822593	0.01367462	3.542125
80	594.5529	589.8912	4.661702	10.91233	0.01194768	0.002521882	0.01166611	0.9780519	0.8691413	1	0.01669629	58.01522	0.1280283	0.0116605	-5.590299
81	596.9011	592.9899	3.911251	22.18722	0.008261271	-0.05547929	0.01413445	0.9286897	0.8116202	1	0.01528192	83.90321	-0.2659114	0.01406258	2.685025
