Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
59	1	358.4267	354.3142	4.112508	7.359592	0.014572	-0.03691019	0.01372297	0.990514	0.892666	1	0.01999855	47.56706	0.01372173	-3.891021
60	0	359.2648	355.5842	3.680575	11.84089	0.0114621	-0.04835232	0.01530702	0.9743666	0.8636215	1	0.01873235	60.47299	0.01529696	-1.8863
61	1	358.3889	354.7072	3.681662	7.502936	0.01443156	-0.03691019	0.01530423	0.9900785	0.8916225	1	0.02101732	48.02995	0.01530272	-3.720213
62	0	358.775	355.1042	3.670819	8.006466	0.01396824	-0.03562749	0.01534717	0.9884947	0.8880314	1	0.02070618	49.62309	0.01534514	-3.096614
63	1	358.8223	354.8296	3.992629	8.13435	0.0138574	-0.03267031	0.01416847	0.9880798	0.8871369	1	0.01981606	50.01999	0.01416645	-2.740745
64	0	358.1455	353.9596	4.185885	8.795581	0.01332299	-0.03562749	0.0134601	0.9858592	0.8826166	1	0.01893826	52.02639	0.01345741	-2.51949
65	1	358.6497	355.1107	3.53896	14.24053	0.01042934	-0.03447767	0.01586322	0.9643405	0.850209	1	0.01819027	66.46125	0.01584305	-0.9668578
66	0	357.7401	354.4359	3.3042	9.09489	0.01310023	-0.06768695	0.01659381	0.9848156	0.8806242	1	0.02085103	52.91105	0.01658998	-4.457676
67	1	357.1856	353.6152	3.570392	7.586132	0.01435187	-0.02013564	0.01570321	0.9898225	0.8910212	1	0.02123066	48.29665	0.01570158	-1.978444
68	0	359.5215	356.1415	3.379991	11.98527	0.01139158	-0.05100894	0.01640583	0.9737823	0.8627815	1	0.01933331	60.84732	0.01639456	-1.945588
69	1	358.0848	353.9696	4.115144	8.606403	0.01346966	-0.06014099	0.01365328	0.9865069	0.8838926	1	0.01917838	51.4599	0.0136508	-4.45716
70	0	355.3586	352.2449	3.113706	7.985836	0.01398636	-0.06983974	0.01728045	0.9885612	0.8881763	1	0.02198594	49.55878	0.01727819	-6.105492
71	1	353.1748	348.6175	4.557388	9.185651	0.01303482	-0.06014099	0.01201635	0.9844948	0.8800263	1	0.0176992	53.1766	0.01201346	-3.878758
72	0	359.4683	356.2145	3.253796	12.17202	0.01130219	-0.03633193	0.01690255	0.9730223	0.8617018	1	0.01954665	61.32859	0.01689025	-1.346738
73	1	359.1424	355.9783	3.164069	11.38571	0.01169288	-0.04554643	0.01721683	0.9761895	0.8663012	1	0.02006561	59.2794	0.01720707	-1.912875
74	0	358.744	354.8022	3.941811	9.986655	0.0124961	-0.05669705	0.01431099	0.9815811	0.8748665	1	0.01891198	55.46909	0.01430614	-3.078198
75	1	357.1526	354.1184	3.034235	11.38571	0.01169288	-0.08099043	0.01750854	0.9761895	0.8663012	1	0.02023489	59.2794	0.01749861	-3.401464
76	0	358.53	354.5114	4.018584	9.762279	0.01264041	-0.05534296	0.01403383	0.9824114	0.8762914	1	0.01883578	54.83581	0.01402949	-3.146533
77	1	357.2718	354.9258	2.345972	20.72054	0.00857027	-0.02307735	0.02039296	0.9353965	0.8182458	1	0.01869616	80.8781	0.02030785	-0.3572152
78	0	359.4373	355.815	3.622257	10.72409	0.01205354	-0.05534296	0.01549224	0.9787822	0.8702866	1	0.01932545	57.50567	0.01548527	-2.608328
79	1	353.5166	351.6743	1.842291	19.61822	0.008823429	0.02864196	0.02201101	0.9404184	0.8233501	1	0.01970851	78.55757	0.02193288	0.4807184
80	0	359.1245	355.6255	3.498989	13.50347	0.01071802	-0.04526002	0.01599148	0.9674838	0.8542122	1	0.0185147	64.67117	0.01597457	-1.391921
81	1	356.1443	353.9087	2.235555	21.60235	0.008380972	0.006671957	0.02070378	0.9313667	0.8142408	1	0.01862889	82.70487	0.02060625	0.09721166
82	0	358.5272	355.1407	3.386487	13.50347	0.01071802	-0.06793736	0.01631096	0.9674838	0.8542122	1	0.01869873	64.67117	0.01629371	-2.089337
83	1	356.4009	353.8652	2.535707	16.6941	0.009605073	0.01030755	0.0194718	0.953591	0.8374982	1	0.01934053	72.1647	0.01942986	0.2221021
84	0	358.9248	355.4439	3.480962	14.02959	0.01050972	-0.03292992	0.01607596	0.965245	0.851345	1	0.01838226	65.95299	0.01605654	-0.947486
85	1	358.994	356.0137	2.980224	15.21426	0.01007943	-0.03576597	0.01794005	0.9601204	0.8450584	1	0.01901713	68.76846	0.01791152	-0.8968496
86	0	359.299	355.4243	3.87467	9.954083	0.01251675	-0.03775331	0.01460607	0.9817023	0.8750724	1	0.01912174	55.37757	0.01460118	-2.06328
87	1	358.9319	355.7201	3.21184	15.21426	0.01007943	-0.02956963	0.01707833	0.9601204	0.8450584	1	0.01855478	68.76846	0.01705117	-0.7414732
88	0	358.1208	354.7092	3.411633	12.37053	0.01120933	-0.00514043	0.01626023	0.9722095	0.8605624	1	0.01909274	61.83662	0.01624767	-0.1849711
89	1	359.6317	355.9277	3.703984	9.906096	0.01254736	-0.04300092	0.01522451	0.9818804	0.8753764	1	0.01954622	55.24248	0.01521952	-2.373175
90	0	358.9634	355.5415	3.421867	9.78756	0.01262391	-0.02707435	0.01626944	0.9823184	0.8761301	1	0.02026741	54.9075	0.01626435	-1.531217
91	1	359.3884	355.5856	3.802861	9.48268	0.01282723	-0.0519737	0.01483636	0.983431	0.8780889	1	0.01950946	54.03716	0.01483229	-3.136812
92	0	358.5155	355.6781	2.837403	14.56863	0.01030769	-0.02322482	0.01846485	0.9629265	0.8484567	1	0.0195105	67.24565	0.01843947	-0.626453
93	1	359.6262	356.0079	3.618232	10.11499	0.01241568	-0.03729434	0.01554818	0.9811015	0.8740583	1	0.01964898	55.82835	0.01554262	-1.973403
94	0	356.889	352.5959	4.293058	6.911442	0.01503867	-0.06164103	0.01298287	0.9918286	0.8959943	1	0.01976083	46.091	0.01298201	-7.54347
95	1	358.7161	355.3748	3.341287	11.20262	0.01178956	-0.06860609	0.01646105	0.9769141	0.8673931	1	0.01970119	58.79329	0.01645227	-2.971774
96	0	358.9066	355.1942	3.712404	8.3798	0.01365175	-0.05733575	0.01514281	0.9872698	0.885439	1	0.02033351	50.77351	0.01514036	-4.503927
97	1	356.7793	352.8176	3.961748	9.749679	0.01264866	-0.005338346	0.01422806	0.9824578	0.8763719	1	0.01897187	54.80005	0.01422368	-0.3043138
98	0	359.3111	355.4225	3.888609	9.641792	0.01271994	-0.04708694	0.01453711	0.9828529	0.877063	1	0.01923077	54.49297	0.01453284	-2.746062
99	1	357.4999	354.9897	2.510175	16.98839	0.009517865	-0.06437226	0.01963731	0.9522791	0.8360295	1	0.01933418	72.82591	0.01959259	-1.348932
100	0	357.3786	353.5527	3.825893	6.286026	0.01577099	-0.04745321	0.01475125	0.993534	0.9008213	1	0.02157044	43.95077	0.01475064	-7.338872
101	1	356.9795	353.4703	3.509149	16.22384	0.009749081	-0.01465463	0.01596134	0.9556789	0.8398682	1	0.01764134	71.09872	0.01592999	-0.3306465
102	0	356.3372	352.4178	3.919464	5.714767	0.01654185	-0.03279231	0.01442529	0.9949461	0.9054416	1	0.02184587	41.90263	0.01442493	-6.488568
103	1	359.0238	355.8281	3.195658	14.91457	0.01018362	-0.02907951	0.01713602	0.9614266	0.8466278	1	0.0186819	68.06492	0.01711052	-0.7538756
104	0	358.4207	354.8701	3.55062	10.97008	0.01191573	-0.0731486	0.01565892	0.9778266	0.8687918	1	0.01931774	58.17076	0.01565122	-3.29894
105	1	359.5299	356.2461	3.283838	12.60757	0.01110125	-0.03934483	0.01679078	0.9712327	0.8592126	1	0.01930796	62.43865	0.01677688	-1.367691
106	0	358.5693	354.5487	4.020657	7.796027	0.01415646	-0.05635651	0.01401385	0.9891665	0.8895185	1	0.01991916	48.96331	0.01401221	-5.202062
107	1	358.3218	354.853	3.468764	10.76625	0.01202959	-0.07451272	0.01594928	0.9786191	0.8700292	1	0.01958894	57.62016	0.01594198	-3.485021
108	0	358.947	355.0633	3.883704	10.46199	0.01220557	-0.05365202	0.01453819	0.9797887	0.8718969	1	0.01883863	56.78939	0.01453225	-2.654551
109	1	358.9827	355.7011	3.281659	14.88493	0.01019408	-0.03139514	0.01681771	0.9615555	0.8467838	1	0.01851708	67.99504	0.01679285	-0.8166345
110	0	357.3034	353.2329	4.070536	6.728224	0.01524266	-0.02429724	0.01387121	0.9923444	0.8973854	1	0.02056376	45.47417	0.0138704	-3.173776
111	1	353.5583	349.7411	3.817162	10.86333	0.01197497	0.02007748	0.01459312	0.9782426	0.8694385	1	0.01869504	57.88298	0.01458621	0.9227872
112	0	357.1336	353.5862	3.547472	9.113837	0.0130865	-0.005342063	0.01574554	0.9847488	0.8804992	1	0.02030044	52.96659	0.01574188	-0.3502723
