Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
76	665.7427	662.6455	3.097233	0.5612895	0.05279031	-0.0139886	0.005071379	1	0.9703694	1	0.02313956	13.1302	0.8418153	0.005071379	-1.823234e+07
77	669.374	663.6256	5.748408	0.6795079	0.04797891	-0.01605658	0.005870943	0.9999998	0.9673979	1	0.02373527	14.44691	-0.2033997	0.005870943	857387
78	666.4655	661.1948	5.270767	0.7338225	0.04616918	-0.01771484	0.004859026	0.9999996	0.96612	1	0.02118194	15.0132	-0.4238068	0.004859026	1042154
79	665.8413	661.8785	3.962745	0.5085801	0.05545849	-0.014352	0.006042607	1	0.9717949	1	0.02588875	12.49849	-0.7450891	0.006042607	3.652845e+07
80	666.791	661.99	4.800974	0.8378354	0.04320841	-0.01284448	0.005289364	0.999999	0.9637985	1	0.02137966	16.04195	0.5144465	0.005289364	-525215.8
81	668.7355	662.9889	5.746648	0.4628725	0.05813223	-0.02130287	0.005041466	1	0.9730922	1	0.0242104	11.92363	-0.1948109	0.005041466	2.038753e+07
82	668.2292	662.6521	5.577113	0.8918493	0.04187954	-0.01758615	0.005745155	0.9999985	0.9626498	1	0.02193648	16.55097	-0.3122011	0.005745155	191895.7
83	669.1096	663.251	5.858579	0.7859735	0.04461118	-0.01428705	0.0057092	0.9999994	0.9649368	1	0.02256963	15.53752	-0.08379375	0.0057092	108405.1
84	669.4976	663.6365	5.861081	0.7763901	0.04488567	-0.01776966	0.005659721	0.9999994	0.9651512	1	0.02254065	15.44251	-0.08444536	0.005659721	113525.9
85	669.8597	664.0218	5.837841	0.6303727	0.04981372	-0.02132112	0.005353888	0.9999999	0.9685988	1	0.02309533	13.91478	-0.1215684	0.005353888	824752.6
86	667.6372	662.5113	5.125848	0.5854167	0.05169102	-0.0114634	0.00568549	0.9999999	0.9697392	1	0.02424412	13.40943	-0.4762998	0.00568549	6968871
87	669.9747	664.2375	5.73722	0.638842	0.04948242	-0.01997231	0.005416074	0.9999999	0.9683886	1	0.02315169	14.00795	0.1643415	0.005416074	-1364009
88	669.2632	663.6344	5.628799	0.4855907	0.05675609	-0.02303073	0.005379428	1	0.9724398	1	0.02471094	12.21274	0.2267871	0.005379428	-1.890731e+07
