Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
56	427.2247	424.9726	2.252085	64.14081	0.004307921	-0.01704577	0.02207742	0.7476723	0.6600172	1	0.01379187	160.9006	0.02067177	-0.06755411
57	426.0739	423.5756	2.498237	57.89551	0.004635532	0.05065155	0.02019084	0.7727598	0.6799854	1	0.01368176	149.5291	0.01914822	0.2228987
58	428.4047	425.5851	2.819556	49.79866	0.005134318	-0.03654245	0.01925357	0.8062496	0.7067786	1	0.01406086	135.0028	0.01853081	-0.1886058
59	428.3312	425.3837	2.947474	35.2397	0.006367666	-0.05656596	0.01830915	0.869375	0.7585425	1	0.01527001	108.8542	0.01799674	-0.4330407
60	427.5867	424.8296	2.757035	35.93986	0.0062938	-0.05982067	0.0190364	0.866254	0.7559137	1	0.01547975	110.1317	0.01869587	-0.4472709
61	428.7006	425.8122	2.888458	36.83969	0.006201635	-0.01851687	0.01860747	0.8622552	0.75256	1	0.01519189	111.7685	0.01825442	-0.1344288
62	427.4977	424.8772	2.62052	36.84772	0.006200826	-0.02777639	0.01965021	0.8622195	0.7525302	1	0.01561074	111.783	0.01927718	-0.2015989
63	429.7056	425.8611	3.844531	25.62544	0.007636717	-0.0404546	0.0148388	0.9129329	0.7967251	1	0.01505455	90.76507	0.01472632	-0.4646372
64	427.4892	422.9314	4.55779	20.84218	0.008543491	-0.01222833	0.01211487	0.9348411	0.8176893	1	0.01438772	81.13161	0.01206344	-0.1876694
65	426.9959	422.3359	4.660008	16.74485	0.009589878	-0.00965489	0.01169072	0.953365	0.8372441	1	0.01497415	72.27904	0.01166529	-0.207031
66	428.1348	424.8816	3.253193	33.99855	0.006503542	0.02921522	0.01685433	0.8749269	0.7632457	1	0.01480627	106.5799	0.01659067	0.2335852
67	425.693	421.658	4.034951	29.6697	0.007035139	0.03597133	0.01379645	0.8944723	0.7801334	1	0.01393269	98.52644	0.01364281	0.340871
68	427.924	423.9831	3.940954	24.236	0.007874299	-0.07986681	0.01427641	0.9193002	0.802646	1	0.01499445	88.02652	0.01418344	-0.9896783
69	429.3432	425.9401	3.403053	29.14078	0.007107269	-0.03262028	0.01653189	0.8968776	0.7822544	1	0.01532949	97.52651	0.01635609	-0.3163257
70	429.6913	426.2123	3.478938	33.18167	0.006596647	-0.02753805	0.01631725	0.8785944	0.7663729	1	0.01467236	105.0757	0.01607675	-0.2268268
71	428.457	424.6382	3.818775	35.20495	0.006371383	-0.01686218	0.0150684	0.86953	0.7586734	1	0.01385688	108.7907	0.0148119	-0.1292419
72	428.5752	425.1475	3.427698	28.68409	0.007170995	0.01233729	0.01626318	0.8989569	0.7840968	1	0.0152724	96.65983	0.01609713	0.1220994
73	429.6271	425.5751	4.052021	22.90126	0.008120962	-0.02505568	0.01404359	0.9254187	0.8084574	1	0.01510281	85.35284	0.01396547	-0.3359512
74	428.7369	424.5078	4.229081	26.20528	0.007542752	-0.03555982	0.01342776	0.9102781	0.7942901	1	0.01423252	91.89579	0.01331967	-0.3963338
75	429.3899	426.0127	3.377178	32.17959	0.006715151	-0.04704147	0.01666137	0.8831072	0.7702453	1	0.01495885	103.2214	0.01643371	-0.4024325
76	428.1289	424.7671	3.361755	30.8299	0.006882852	-0.0794927	0.01651949	0.8892083	0.7755275	1	0.01507987	100.7064	0.01631671	-0.7174968
