Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
67	585.5931	579.7426	5.850418	10.67016	0.01208437	-0.01793537	0.005626919	0.9789903	0.8706163	1	0.01166171	57.35896	0.005624435	-0.8536697
68	587.2084	581.3928	5.815571	10.18169	0.01237448	0.00266553	0.00495279	0.980851	0.8736402	1	0.01107142	56.01423	0.004950973	0.1391993
69	587.9611	582.1729	5.788186	7.196421	0.0147369	-0.01114702	0.004553519	0.9910011	0.8938661	1	0.01158488	47.03481	0.00455315	-1.238704
70	586.9022	581.0678	5.834462	8.553094	0.01351185	-0.001550049	0.00527173	0.9866876	0.8842547	1	0.01193573	51.2992	0.005270796	-0.1164369
71	586.0086	580.3995	5.609089	5.240023	0.01727584	0.0007108457	0.003873953	0.996003	0.9094582	1	0.01156943	40.12233	0.003873891	0.1778469
72	585.3728	579.6501	5.722638	4.468747	0.01870841	-0.01701388	0.004205768	0.9974715	0.9163905	1	0.01254458	37.05004	0.004205742	-6.728927
73	588.0315	582.2347	5.79675	8.214771	0.01378902	-0.006359731	0.004645875	0.9878163	0.8865779	1	0.01131919	50.26806	0.004645185	-0.5219883
74	586.8896	581.1991	5.69051	4.824504	0.01800504	-0.007115663	0.004111247	0.9968341	0.9131246	1	0.01216743	38.4974	0.004111206	-2.24758
75	581.993	576.1795	5.813534	7.363571	0.01456805	0.001967025	0.005895283	0.990502	0.8926369	1	0.01310593	47.57997	0.005894751	0.2070992
76	587.2537	581.4315	5.822181	9.911824	0.01254369	0.002798153	0.005070887	0.9818592	0.87534	1	0.01127898	55.25862	0.005069218	0.1542463
77	587.4539	581.6164	5.837495	9.161892	0.01305185	-0.005981047	0.005151325	0.984579	0.8801826	1	0.01159606	53.1072	0.0051501	-0.38785
78	587.0493	581.2105	5.83874	7.602988	0.01433588	-0.009900601	0.00510424	0.9897703	0.8908998	1	0.01209742	48.35051	0.005103706	-0.967833
79	585.9928	580.1502	5.842551	7.914119	0.01404992	-0.02290579	0.004992681	0.9887912	0.8886816	1	0.01184456	49.3346	0.004992054	-2.043556
80	587.4823	581.6489	5.833468	9.315189	0.01294309	-0.003238786	0.005134001	0.9840334	0.8791778	1	0.01152821	53.55347	0.005132692	-0.2028477
81	587.9358	582.1405	5.795275	6.928305	0.0150203	-0.01066026	0.004608391	0.9917804	0.8958672	1	0.011766	46.14736	0.00460808	-1.296937
82	587.7823	582.0615	5.720798	6.502165	0.01550605	-0.00788019	0.004219758	0.9929626	0.8991276	1	0.01143956	44.70172	0.004219549	-1.119751
83	585.9658	580.159	5.806761	5.319059	0.01714688	-0.003097478	0.00480032	0.9958348	0.9087774	1	0.01283047	40.42409	0.004800237	-0.7436641
84	588.1057	582.3119	5.793735	7.252754	0.01467934	-0.007940738	0.004615689	0.990834	0.8934503	1	0.0116409	47.21922	0.004615302	-0.8663233
85	587.0189	581.2525	5.766431	6.148597	0.01594663	-0.01727589	0.004399917	0.993887	0.9019133	1	0.011846	43.4667	0.004399753	-2.826093
86	585.9668	580.3234	5.64338	7.269943	0.01466192	-0.00528587	0.003945266	0.9907828	0.8933238	1	0.01075594	47.27535	0.003944931	-0.5734772
87	586.5467	580.7983	5.748343	6.667286	0.01531235	-0.01980571	0.004297656	0.992513	0.8978521	1	0.01147233	45.26721	0.004297415	-2.645357
88	586.3209	580.704	5.616863	4.926892	0.01781684	-0.008876593	0.003862026	0.9966378	0.912207	1	0.01173108	38.90404	0.003861982	-2.640097
89	587.9214	582.1545	5.766931	7.510967	0.01442381	-0.0002355027	0.00450038	0.9900539	0.8915643	1	0.01139409	48.05575	0.004499935	-0.0236778
90	587.9178	582.172	5.745851	7.245934	0.01468628	-0.003222859	0.004359883	0.9908543	0.8935006	1	0.0113164	47.19693	0.004359519	-0.3523893
91	587.4328	581.6525	5.780296	8.593211	0.01348006	0.003946363	0.004630352	0.9865517	0.8839821	1	0.01117295	51.42018	0.004629515	0.2934466
92	585.181	579.3582	5.822834	11.24255	0.01176828	-0.00359061	0.005922991	0.9767565	0.8671543	1	0.01180707	58.89961	0.005919791	-0.1544782
93	587.7721	581.9817	5.790372	8.557187	0.0135086	0.0003295277	0.004664406	0.9866738	0.8842268	1	0.01122583	51.31156	0.004663577	0.02472779
94	587.9974	582.191	5.806429	7.410459	0.0145217	-0.00408055	0.004758757	0.9903603	0.8922946	1	0.0117563	47.73182	0.004758315	-0.4233051
95	586.8831	581.0506	5.832471	6.780446	0.01518368	-0.01204436	0.004967127	0.9921987	0.896987	1	0.01228163	45.65081	0.004966824	-1.543887
96	586.2596	580.4336	5.826001	6.041721	0.01608732	-0.01530734	0.004857792	0.9941558	0.9027708	1	0.01250191	43.08656	0.004857626	-2.61925
97	587.6186	581.8936	5.724961	5.652276	0.01663317	-0.009174576	0.004236479	0.9950915	0.9059606	1	0.01187149	41.67258	0.004236377	-1.869132
98	584.2521	578.5041	5.748022	9.0046	0.01316628	0.02069093	0.00464445	0.9851328	0.8812219	1	0.01105894	52.64565	0.004643424	1.39172
99	585.3736	579.5765	5.79707	7.932429	0.01403361	0.01455256	0.005041629	0.9887326	0.8885524	1	0.01189557	49.39193	0.005040989	1.291566
100	585.2409	579.5502	5.69067	8.964973	0.01319557	-0.0008707358	0.004125296	0.9852714	0.8814851	1	0.01043414	52.52877	0.004124401	-0.05911872
101	587.9366	582.1429	5.793618	7.626383	0.01431378	-0.01121726	0.004587665	0.9896978	0.8907315	1	0.01146009	48.42517	0.004587179	-1.088823
102	584.6433	579.003	5.640257	6.03855	0.01609155	-0.02111051	0.003897457	0.9941637	0.9027963	1	0.01119965	43.07523	0.003897324	-3.617121
103	587.921	582.1396	5.781472	7.693725	0.01425071	-0.01039609	0.004511643	0.989488	0.8902484	1	0.01133968	48.63947	0.004511145	-0.9889756
104	587.649	581.9142	5.734786	7.482093	0.01445173	-0.001657061	0.004314486	0.9901422	0.8917736	1	0.01116708	47.96291	0.004314067	-0.1680971
105	585.2905	579.6094	5.681099	5.84404	0.0163576	0.010629	0.004176975	0.9946395	0.9043768	1	0.01168976	42.37463	0.004176855	1.982854
106	587.6835	581.9768	5.706654	6.358586	0.01568055	-0.003436633	0.004183847	0.9933443	0.9002496	1	0.0114547	44.20426	0.004183662	-0.5163475
107	586.8167	581.0031	5.813612	8.63235	0.01344926	-0.01966461	0.004684537	0.9864186	0.8837168	1	0.01122529	51.53795	0.004683672	-1.447909
108	587.6345	581.8882	5.746276	7.772878	0.01417763	-0.0005310164	0.004379066	0.9892396	0.8896832	1	0.01114314	48.89021	0.004378559	-0.04934893
109	585.1737	579.5435	5.630191	4.268605	0.01914215	0.000250003	0.003941367	0.9977989	0.9182849	1	0.01228383	36.21052	0.003941348	0.1135798
110	586.9252	581.2322	5.693035	6.868707	0.01508552	0.003368891	0.004167128	0.99195	0.8963172	1	0.01121279	45.94784	0.004166858	0.4184972
111	585.8672	580.2392	5.628051	6.865047	0.01508955	0.0008721454	0.003925256	0.9919604	0.8963449	1	0.01088397	45.93556	0.003925003	0.1084812
112	584.9028	579.1448	5.757993	9.486313	0.01282475	0.01783184	0.004667056	0.9834179	0.8780654	1	0.0109411	54.04761	0.004665773	1.075367
113	587.5016	581.7271	5.774458	8.669743	0.01342002	0.001308708	0.004558043	0.9862911	0.8834639	1	0.01106066	51.65022	0.004557187	0.09546411
114	587.445	581.6063	5.838617	9.228868	0.013004	-0.01205248	0.005033002	0.9843413	0.8797426	1	0.01144108	53.30261	0.005031767	-0.7696987
115	583.6934	578.0869	5.606476	7.447769	0.01448513	0.009870659	0.003905269	0.9902469	0.8920229	1	0.01063657	47.85231	0.003904898	1.012056
116	587.9133	582.1024	5.810906	8.463316	0.0135838	-0.001902304	0.004824373	0.9869903	0.8848668	1	0.01144843	51.0275	0.004823556	-0.146222
117	586.5116	580.6591	5.852522	10.65204	0.01209479	-0.01686059	0.005302364	0.9790601	0.8707273	1	0.01132528	57.30959	0.005300039	-0.8051892
118	585.8839	580.1021	5.781867	10.89964	0.01195473	-0.002187988	0.004564977	0.9781013	0.8692182	1	0.0104473	57.98101	0.004562788	-0.09991408
119	587.0572	581.2673	5.789902	7.805059	0.01414823	-0.0182846	0.004523531	0.989138	0.8894543	1	0.0113137	48.9918	0.004522998	-1.683349
120	586.2094	580.5261	5.683228	7.739751	0.01420808	-0.009599	0.004060945	0.9893438	0.8899194	1	0.01074227	48.78542	0.004060484	-0.9007892
