Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
53	1	585.5796	579.787	5.792591	10.34984	0.01227235	-0.01743729	0.004533614	0.9802155	0.8725917	1	0.01054875	56.48041	0.00453184	-0.8813598
54	0	586.0747	580.354	5.720717	8.826138	0.01329974	0.00448399	0.004287879	0.9857537	0.8824117	1	0.01067967	52.11735	0.004287009	0.3147487
55	1	584.228	578.691	5.53695	4.64914	0.01834168	-0.01491138	0.003642676	0.9971571	0.9147189	1	0.01155965	37.79083	0.003642646	-5.245054
56	0	586.584	580.7672	5.816825	7.570667	0.01436658	0.005211027	0.00508	0.9898702	0.8911328	1	0.01208158	48.24718	0.005079479	0.5144279
57	1	586.5981	580.8538	5.744316	7.328844	0.01460265	-0.01849793	0.004279318	0.9906065	0.8928912	1	0.01117939	47.4672	0.00427894	-1.969228
58	0	586.3353	580.6901	5.64521	6.893044	0.01505879	-0.001090734	0.003970203	0.9918809	0.8961332	1	0.01093494	46.02942	0.003969941	-0.1343423
59	1	586.8104	580.9684	5.842048	7.840673	0.0141159	-0.0094321	0.005205032	0.9890251	0.8892014	1	0.01212219	49.10399	0.005204405	-0.8594277
60	0	587.2194	581.3925	5.826869	7.115558	0.01482069	-0.00449792	0.00500416	0.9912389	0.8944657	1	0.01217909	46.76888	0.005003776	-0.5133969
61	1	588.0034	582.1899	5.813479	8.312544	0.0137072	-0.005327587	0.004805168	0.9874935	0.8859019	1	0.0114774	50.5681	0.004804416	-0.4259855
62	0	587.0797	581.2422	5.837526	10.64274	0.01210014	-0.01164926	0.005005963	0.9790959	0.8707844	1	0.01100662	57.28421	0.005003776	-0.5572721
63	1	586.5536	580.7056	5.84793	8.223274	0.01378184	-0.01496238	0.005222988	0.9877884	0.886519	1	0.01199853	50.29422	0.005222209	-1.225256
64	0	587.5448	581.713	5.831817	9.663105	0.01270576	-0.003559032	0.00508058	0.9827751	0.8769262	1	0.01136245	54.55376	0.005079073	-0.2066208
65	1	585.9702	580.2717	5.698558	4.581831	0.01847598	0.0003438728	0.004183852	0.9972765	0.9153388	1	0.01243389	37.51612	0.004183821	0.1262625
66	0	585.3541	579.5808	5.773311	6.575957	0.01541859	0.01294466	0.004726739	0.992763	0.8985556	1	0.01207308	44.95529	0.004726491	1.788683
67	1	586.9395	581.2168	5.722773	7.281647	0.01465008	0.005934606	0.00431542	0.9907478	0.8932377	1	0.01124467	47.31353	0.004315051	0.6414294
68	0	587.9455	582.1737	5.771841	6.575957	0.01541859	-0.001807944	0.004523162	0.992763	0.8985556	1	0.01181023	44.95529	0.004522925	-0.2498205
69	1	587.2479	581.4084	5.839478	10.37631	0.0122565	-0.01060476	0.005062107	0.980115	0.8724274	1	0.01113945	56.55346	0.005060105	-0.5333041
70	0	586.4189	580.5744	5.84453	7.691249	0.01425302	-0.01074827	0.005259504	0.9894958	0.8902662	1	0.01224449	48.63161	0.005258923	-1.023232
71	1	586.1586	580.3077	5.850896	12.56637	0.01111983	-0.01399999	0.0052781	0.971403	0.8594464	1	0.01083435	62.33436	0.005273784	-0.4895609
72	0	586.7019	580.9058	5.796181	8.22087	0.01378387	-0.02006734	0.004555555	0.9877963	0.8865357	1	0.01120653	50.28683	0.004554877	-1.644362
73	1	587.4463	581.6065	5.839731	9.092683	0.01310184	-0.01112325	0.005073149	0.9848234	0.8806388	1	0.01152975	52.90458	0.00507198	-0.7329218
74	0	587.9972	582.2497	5.747457	6.460802	0.01555573	-0.003514122	0.004370489	0.9930734	0.8994495	1	0.01166072	44.55896	0.004370279	-0.5073384
75	1	587.8803	582.0703	5.810013	7.092623	0.01484472	-0.005560359	0.004778378	0.9913059	0.8946364	1	0.01191081	46.69318	0.004778017	-0.6395577
76	0	587.4722	581.7406	5.731633	7.755336	0.01419373	-0.004332085	0.004281446	0.9892948	0.8898083	1	0.01102449	48.83475	0.004280955	-0.4046709
77	1	588.1418	582.3546	5.787194	7.534346	0.01440132	-0.004993139	0.004591624	0.9899821	0.8913951	1	0.01150004	48.1308	0.004591163	-0.4984218
78	0	585.7398	579.9202	5.81966	8.60272	0.01347256	0.008159971	0.005375261	0.9865194	0.8839176	1	0.01203483	51.44881	0.005374284	0.6053119
79	1	584.7404	578.9131	5.827339	5.991444	0.01615479	0.0003151422	0.005195242	0.9942805	0.9031767	1	0.01295593	42.90659	0.005195072	0.05509991
80	0	585.7401	579.9376	5.802501	5.187711	0.01736281	-0.001779992	0.004777828	0.9961126	0.9099116	1	0.01288072	39.92137	0.004777756	-0.4578911
81	1	582.4519	576.6277	5.824189	17.55643	0.009355469	0.007539871	0.005303973	0.9497365	0.8332249	1	0.009962044	74.09005	0.005290573	0.1500068
82	0	587.9525	582.218	5.734478	6.593748	0.01539772	-0.005745055	0.004291816	0.9927146	0.8984182	1	0.01149645	45.01622	0.004291588	-0.7885699
83	1	588.0306	582.249	5.781539	7.900995	0.01406164	-0.006529905	0.004538055	0.9888331	0.8887743	1	0.01129712	49.29347	0.004537489	-0.5847572
84	0	586.0415	580.3301	5.711373	7.976661	0.01399445	0.008999317	0.004285061	0.9885907	0.8882409	1	0.01095144	49.53016	0.004284503	0.788769
85	1	587.1128	581.2887	5.824156	7.741269	0.01420668	0.000698549	0.005077043	0.989339	0.8899086	1	0.01201066	48.79023	0.005076465	0.06552392
86	0	587.4072	581.5684	5.838824	9.342667	0.01292387	-0.006343711	0.005173784	0.983935	0.8789985	1	0.0115642	53.6331	0.005172449	-0.3948785
87	1	586.7469	580.9944	5.752446	8.813328	0.01330947	-0.01050717	0.004343829	0.985798	0.8824976	1	0.01075305	52.07924	0.004342953	-0.7398373
88	0	587.2799	581.5352	5.744683	7.166143	0.01476811	0.00528293	0.00442356	0.9910904	0.8940902	1	0.01143045	46.93541	0.004423208	0.5929477
