Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
51	1	557.0785	552.5157	4.562857	8.175492	0.01382229	-0.03602931	0.01239804	0.9879452	0.8868506	1	0.0185132	50.14705	0.02755995	0.01239624	-5.247473
52	0	554.2753	550.1765	4.098842	10.57971	0.0121366	-0.06752158	0.01265431	0.9793381	0.8711713	1	0.017526	57.11212	0.293197	0.01264891	-17.16498
53	1	554.1349	550.1379	3.996956	10.00233	0.0124862	-0.003874762	0.01451437	0.9815227	0.8747676	1	0.01903834	55.51307	-0.06056951	0.01450941	3.007778
54	0	554.9523	551.7063	3.245958	11.2949	0.01174055	-0.01093289	0.01363136	0.9765496	0.8668418	1	0.01789076	59.03873	0.4961438	0.01362386	-21.1272
55	1	556.9453	552.483	4.462299	8.280771	0.01373363	-0.04238285	0.01254461	0.9875987	0.8861211	1	0.0185625	50.47078	0.1107891	0.01254268	-12.24051
56	0	556.0927	552.3322	3.760527	10.45342	0.01221064	-0.04973158	0.01327214	0.9798214	0.8719499	1	0.01800341	56.76584	0.3694888	0.01326674	-20.40596
57	1	554.2642	550.2081	4.056111	9.548113	0.01278279	-0.003292118	0.01413071	0.983194	0.877666	1	0.01900684	54.22503	0.08589475	0.01412672	-5.220947
58	0	556.0274	551.5091	4.518318	6.945207	0.01500195	-0.04553733	0.01242935	0.9917321	0.89574	1	0.01931137	46.20379	-0.1317354	0.0124285	10.29389
59	1	553.4781	550.7763	2.701826	8.756003	0.01335329	-0.03506743	0.01447782	0.9859955	0.8828825	1	0.0196635	51.90836	-0.6282506	0.01447498	41.72842
60	0	554.2542	552.1831	2.071085	7.87027	0.0140892	-0.04613336	0.01244766	0.9889311	0.8889916	1	0.01872846	49.19704	0.7976295	0.01244614	-75.43045
61	1	554.6065	550.4223	4.184175	14.111	0.01047849	-0.02437755	0.01347793	0.9648963	0.8509057	1	0.01680645	66.14952	-0.2022409	0.01346132	4.86456
62	0	552.41	547.4699	4.940166	4.764001	0.01811909	-0.03129677	0.01047407	0.9969474	0.9136713	1	0.01948233	38.25509	0.1572327	0.01047397	-61.60327
63	1	556.3833	552.0821	4.301195	8.19846	0.01380281	-0.04990434	0.01245025	0.9878699	0.8866911	1	0.01853906	50.21784	0.2339548	0.01244842	-23.1673
64	0	556.221	551.8789	4.342126	8.6456	0.01343888	-0.04527185	0.01197524	0.9863735	0.8836272	1	0.01794067	51.57776	0.2768629	0.01197301	-23.36341
65	1	554.8704	550.2967	4.573746	11.28426	0.01174617	-0.02927959	0.01216874	0.9765916	0.8669052	1	0.01690776	59.01049	-0.1609947	0.01216208	5.465847
66	0	556.6489	552.5237	4.125147	11.6603	0.01155208	-0.03150984	0.01401898	0.9750934	0.8646789	1	0.01799713	60.00191	0.05162387	0.01401028	-3.286198
67	1	556.0532	551.738	4.315268	8.854577	0.0132782	-0.014719	0.01312362	0.9856553	0.8822213	1	0.01866859	52.20188	-0.1609947	0.01312092	10.03623
68	0	555.2531	551.6916	3.561496	8.288354	0.01372731	-0.036778	0.01372061	0.9875736	0.8860688	1	0.01940861	50.49402	-0.4526314	0.01371849	33.01278
69	1	555.5447	550.7874	4.757384	6.205956	0.01587261	-0.04471008	0.01159687	0.9937407	0.9014561	1	0.01918711	43.66938	-0.09744081	0.01159641	8.326887
70	0	554.5723	551.7791	2.793234	8.002074	0.01397209	-0.03610763	0.01347105	0.9885089	0.8880623	1	0.019402	49.60941	0.6129563	0.01346927	-55.87088
71	1	553.8887	550.1298	3.758871	8.819731	0.0133046	-0.05670965	0.01442569	0.9857759	0.8824546	1	0.01959225	52.09829	0.2382311	0.01442277	-20.49703
72	0	554.7932	550.6728	4.120333	10.47848	0.01219584	-0.06237806	0.01258059	0.9797257	0.871795	1	0.01751747	56.83471	0.2960667	0.01257541	-17.38369
73	1	555.7241	552.0165	3.707568	11.41262	0.01167887	-0.05028178	0.01335933	0.9760826	0.8661415	1	0.01766476	59.35054	0.3798065	0.01335169	-17.60245
74	0	555.692	551.3758	4.316193	8.571409	0.01349731	-0.05823884	0.01329214	0.9866256	0.8841302	1	0.01894245	51.35447	-0.04166018	0.01328976	-1.281244
75	1	552.6644	549.7765	2.887825	9.739362	0.01265542	-0.03690985	0.01538284	0.9824957	0.8764378	1	0.01973203	54.77076	-0.5210123	0.01537813	27.13512
76	0	553.0884	549.6458	3.442588	17.01397	0.009510386	-0.06358273	0.01644357	0.9521649	0.8359024	1	0.01768529	72.88318	-0.1250328	0.01640594	1.159589
77	1	553.4737	549.0823	4.391432	10.19547	0.01236602	-0.01865833	0.01155599	0.9807991	0.8735539	1	0.01690572	56.05258	-0.3600451	0.01155173	17.41966
78	0	554.2039	550.1689	4.035014	15.70927	0.009913655	-0.04706418	0.01426048	0.9579502	0.8424955	1	0.01681508	69.91843	0.08450332	0.01423526	-3.044343
79	1	555.5598	552.0856	3.474248	8.608254	0.0134682	-0.04124396	0.01201243	0.9865006	0.8838801	1	0.01798809	51.46547	-0.6002268	0.01201024	40.80771
80	0	555.1484	551.3299	3.818496	10.4693	0.01220126	-0.05799111	0.01274452	0.9797608	0.8718517	1	0.01763515	56.80949	0.3936767	0.0127393	-21.92276
81	1	556.422	552.2325	4.189497	10.82719	0.01199522	-0.01994245	0.01329499	0.9783829	0.8696581	1	0.01785925	57.78527	-0.229934	0.01328878	9.484226
82	0	556.4372	552.1718	4.265461	8.478895	0.01357123	-0.0487363	0.01239057	0.9869379	0.8847603	1	0.01833877	51.07475	-0.3147572	0.01238846	20.05117
83	1	553.3753	550.9717	2.403594	9.735313	0.01265808	-0.06493178	0.01282204	0.9825105	0.8764637	1	0.0180168	54.75925	0.7184616	0.01281812	-44.07381
84	0	556.3065	551.8181	4.488356	10.7429	0.01204284	-0.03101614	0.01257468	0.9787095	0.8701717	1	0.01740316	57.55677	0.08148611	0.01256898	-5.202668
85	1	555.3949	551.5488	3.846175	9.735313	0.01265808	-0.01841106	0.01422498	0.9825105	0.8764637	1	0.01897688	54.75925	0.2307506	0.01422063	-14.01562
86	0	555.8316	552.2243	3.607283	8.127019	0.01386369	-0.03101614	0.0120577	0.9881037	0.887188	1	0.01828465	49.99732	0.5110424	0.012056	-45.05422
87	1	555.8448	552.3767	3.468143	10.34913	0.01227277	-0.04829631	0.01315216	0.9802182	0.8725961	1	0.01796739	56.47845	-0.5237456	0.01314702	23.5109
88	0	554.6295	552.3119	2.317619	9.406558	0.01287951	-0.02152384	0.01279796	0.9837056	0.8785827	1	0.01815662	53.81783	0.7408665	0.01279457	-46.04765
89	1	555.0911	550.6134	4.477663	9.560764	0.01277425	-0.06362241	0.01234563	0.983148	0.8775844	1	0.01775985	54.26129	0.1235511	0.01234212	-10.98337
90	0	555.2771	551.2531	4.024007	10.22049	0.0123507	-0.007072574	0.01386146	0.9807048	0.8733975	1	0.01850398	56.12212	0.1792064	0.0138563	-9.474964
91	1	556.3576	551.9971	4.360507	9.061409	0.01312461	-0.05462146	0.01283946	0.9849335	0.8808455	1	0.01835827	52.81278	-0.1772532	0.01283655	7.96211
92	0	554.6184	550.9367	3.68162	9.826309	0.01259873	-0.02990035	0.01488983	0.9821756	0.8758832	1	0.01936972	55.01721	-0.2785724	0.0148851	13.67261
93	1	555.7489	551.4002	4.348689	6.878318	0.01507495	-0.04194254	0.01265408	0.9919228	0.8962445	1	0.01953252	45.98008	-0.2318112	0.01265325	23.27484
94	0	552.4286	549.6618	2.766732	14.67619	0.01026866	-0.03959161	0.01697222	0.9624611	0.847886	1	0.01866986	67.50123	0.3755634	0.0169483	-10.68376
95	1	556.2191	551.8392	4.379841	11.94548	0.01141089	-0.03093009	0.01314877	0.9739436	0.8630125	1	0.01732277	60.74436	-0.04224898	0.01313984	0.3921499
96	0	551.9132	548.7847	3.12849	21.64245	0.00837262	-0.01690917	0.01778825	0.9311832	0.8140602	1	0.01725887	82.78737	0.06704657	0.01770401	-1.152943
97	1	553.9137	550.0941	3.819538	13.60725	0.01067601	-0.04213414	0.01310194	0.9670442	0.8536428	1	0.01672582	64.92565	-0.4227129	0.01308771	11.12544
98	0	555.8789	552.0278	3.851117	13.33486	0.01078728	-0.03771008	0.01478178	0.9681957	0.8551416	1	0.01785806	64.25597	0.1318992	0.01476682	-5.201007
99	1	555.8269	552.002	3.824921	12.08149	0.01134527	-0.03618704	0.01492643	0.9733912	0.8622242	1	0.0184035	61.09571	0.1196236	0.01491587	-5.73599
100	0	551.3785	547.9538	3.424729	15.31418	0.01004536	0.001645161	0.01352406	0.9596836	0.8445383	1	0.01648357	69.00176	0.4531574	0.01350207	-10.74607
101	1	555.1194	551.3436	3.775737	11.50957	0.01162877	-0.03566891	0.01265287	0.9756965	0.8655673	1	0.01715443	59.60625	0.4214693	0.0126454	-18.38809
102	0	557.0886	552.5438	4.544833	8.440119	0.01360257	-0.039401	0.0124392	0.9870681	0.8850255	1	0.01839593	50.95707	-0.09500467	0.01243712	4.204739
103	1	553.7828	550.771	3.011791	6.209258	0.01586839	-0.03781171	0.01235401	0.9937322	0.9014298	1	0.01980092	43.68102	0.6287865	0.01235352	-105.7239
104	0	555.2643	551.118	4.146293	7.487989	0.01444602	-0.02957899	0.01344015	0.9901242	0.8917308	1	0.01970567	47.98188	0.1767688	0.01343884	-20.71756
105	1	554.5754	550.7749	3.800538	14.18429	0.0104506	-0.003408575	0.01474354	0.964582	0.8505111	1	0.01755442	66.32604	-0.2259078	0.01472505	6.056186
106	0	555.5887	552.0718	3.516828	11.33155	0.01172125	-0.05021483	0.0143253	0.9764044	0.8666234	1	0.01832541	59.13597	0.3563342	0.01431733	-16.87355
