species,log10_carL,log10_cheL,log10_cheW,log10_cheD
BUTH_Buthus_mardochei,0.8290056983285562,1.0472355643208224,0.4621396430309408,0.45946396323509353
BUTH_Buthus_mariefranceae,0.7958661194759178,0.9637621704375144,0.404442933679906,0.4531675209025453
BUTH_Buthus_maroccanus,0.8450980400142568,1.021189299069938,0.6152244606891369,0.5460561782339195
BUTH_Buthus_montanus,0.9033178261633552,1.1826249967914144,0.5352118739080748,0.5809314086596615
BUTH_Buthus_occitanus,0.8493367681022038,1.099320793326078,0.42717579157680585,0.4677921087291575
BUTH_Buthus_paris,0.8309758922044057,1.0797002521841987,0.5078723139274375,0.5199699213138
BUTH_Buthus_parroti,0.8740940135031001,1.092912679806481,0.6215190243431472,0.5481824006811971
BUTH_Buthus_tunetanus,0.8179673680651083,1.0358497099148951,0.43274719283216206,0.41251457938095815
BUTH_Centruroides_arctimanus,0.6267659217635024,0.8969231194550809,0.16431210374510352,0.12221278608646784
BUTH_Centruroides_baergi,0.7481187725833677,1.0105946495349691,0.3798339223448152,0.32732887732476235
BUTH_Centruroides_balsasensis,0.8189324109670946,1.0519360542015277,0.3888040213528457,0.3567452715469713
BUTH_Centruroides_bani,0.8072261564604075,1.0399623502744877,0.48968312119808066,0.4534367673610352
BUTH_Centruroides_baracoae,0.6368899819465675,0.8230832351844355,0.33449042879851343,0.2826547470736523
BUTH_Centruroides_barbudensis,0.6851640038897553,1.023247582167354,0.37018134474712194,0.3116246451989503
BUTH_Centruroides_bicolor,1.0352835581283812,1.3222192947339193,0.7264118345805269,0.7670014515786854
BUTH_Centruroides_borinquensis,0.7378355941622148,0.7731355722842205,0.4340281809115208,0.3559036145205955
BUTH_Centruroides_chamulaensis,0.6867752328412466,0.9173238208236372,0.3021707902593542,0.27431703956025577
BUTH_Centruroides_edwardsii,0.9249636192350414,1.1641306443407435,0.5936082462526793,0.6563918326240072
BUTH_Centruroides_elegans,0.8761010765882605,1.1279075170978,0.49825583607708934,0.47347163534891273
BUTH_Centruroides_exilicauda,0.6564389967276951,0.8918087885259681,0.2258689842401644,0.2118279156049707
